,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
4113,NA,Web Consultant,"1,080",67,"£70,000",16.66%,27 (0.018%),7
4114,NA,Technical Design Leader,"1,080",97,"£52,500",26.50%,27 (0.018%),3
4115,NA,Java Development Manager,"1,080",41,"£85,000",-,27 (0.018%),2
4116,NA,Microsoft CRM Consultant,"1,080",16,"£55,000",-8.33%,27 (0.018%),16
4117,NA,Graduate PHP Developer,"1,080",57,"£42,500",63.46%,27 (0.018%),7
4118,NA,Head of Enterprise Architecture,"1,080",56,"£100,000",17.64%,27 (0.018%),NA
4119,NA,SAP PP Analyst,"1,080",31,"£57,500",4.54%,27 (0.018%),NA
4120,NA,Senior E-Commerce Business Analyst,"1,080",80,"£67,500",3.84%,27 (0.018%),3
4121,NA,Junior QA Engineer,"1,080",73,"£27,500",-15.38%,27 (0.018%),5
4122,NA,Oracle HRMS Analyst,"1,080",83,"£55,000",57.14%,27 (0.018%),2
4123,NA,Algorithm Engineer,"1,080",88,"£55,000",-21.42%,27 (0.018%),15
4124,NA,Calypso Business Analyst,"1,080",83,"£47,500",-47.22%,27 (0.018%),NA
4125,NA,Oracle Payroll Analyst,"1,080",88,"£55,000",57.14%,27 (0.018%),NA
4126,NA,Senior Field Engineer,"1,080",97,"£42,500",13.33%,27 (0.018%),3
4127,NA,Digital Transformation Consultant,"1,080",84,"£80,000",-8.57%,27 (0.018%),NA
4128,NA,SAP S/4HANA Architect,"1,080",68,"£85,000",25.92%,27 (0.018%),4
4129,NA,SAP Delivery Manager,"1,080",83,"£80,000",10.34%,27 (0.018%),1
4130,NA,IAM Consultant,"1,080",65,"£51,250",-18.00%,27 (0.018%),16
4131,NA,Service Owner,"1,080",93,"£66,250",-14.51%,27 (0.018%),2
4132,NA,Amazon Alexa,"1,080",102,"£63,750",-,27 (0.018%),4
4133,NA,Adobe Captivate,"1,081",73,"£35,000",-9.67%,26 (0.017%),10
4134,NA,Pegasus,"1,081",31,"£65,000",31.97%,26 (0.017%),1
4135,NA,FNZ,"1,081",76,"£77,500",-16.21%,26 (0.017%),3
4136,NA,Etrali,"1,081",-,"£72,500",-,26 (0.017%),NA
4137,NA,NetWitness,"1,081",76,"£45,000",-15.09%,26 (0.017%),5
4138,NA,XebiaLabs,"1,081",93,-,-,26 (0.017%),NA
4139,NA,Asigra,"1,081",94,"£43,750",2.94%,26 (0.017%),3
4140,NA,MarkLogic,"1,081",31,"£27,500",-47.61%,26 (0.017%),3
4141,NA,Oracle Smart View,"1,081",81,"£67,500",-,26 (0.017%),3
4142,NA,Cloudera CDH,"1,081",93,"£88,750",58.12%,26 (0.017%),1
4143,NA,Display Advertising,"1,081",70,"£47,500",40.74%,26 (0.017%),9
4144,NA,Link Building,"1,081",66,"£29,250",-2.50%,26 (0.017%),9
4145,NA,Credit Risk Management,"1,081",71,"£77,500",-6.06%,26 (0.017%),NA
4146,NA,Catastrophe Modelling,"1,081",68,"£65,000",15.55%,26 (0.017%),4
4147,NA,Gamification,"1,081",90,"£32,500",-35.00%,26 (0.017%),17
4148,NA,Self-Awareness,"1,081",58,"£38,000",-24.00%,26 (0.017%),11
4149,NA,ActionScript,"1,081",24,"£60,000",50.00%,26 (0.017%),10
4150,NA,GISF,"1,081",100,"£110,000",151.42%,26 (0.017%),1
4151,NA,CCIE Collaboration,"1,081",95,"£62,500",-,26 (0.017%),5
4152,NA,iBATIS,"1,081",94,"£62,000",7.82%,26 (0.017%),1
4153,NA,HornetQ,"1,081",82,"£46,250",-7.50%,26 (0.017%),1
4154,NA,Jinja,"1,081",72,"£72,500",20.83%,26 (0.017%),2
4155,NA,lodash,"1,081",34,"£47,500",-17.39%,26 (0.017%),5
4156,NA,Scalaz,"1,081",97,"£85,000",6.25%,26 (0.017%),1
4157,NA,Broccoli,"1,081",104,"£57,500",15.00%,26 (0.017%),3
4158,NA,SAP EWM,"1,081",42,"£65,000",15.55%,26 (0.017%),5
4159,NA,Development Specialist,"1,081",90,"£80,000",52.38%,26 (0.017%),2
4160,NA,Senior Oracle DBA,"1,081",70,"£60,000",5.26%,26 (0.017%),5
4161,NA,Data Migration Analyst,"1,081",58,"£42,500",-,26 (0.017%),6
4162,NA,Cognos Consultant,"1,081",87,"£55,000",10.00%,26 (0.017%),NA
4163,NA,SAS Analyst,"1,081",-17,"£41,250",-8.33%,26 (0.017%),8
4164,NA,Oracle Database Developer,"1,081",79,"£52,500",-16.00%,26 (0.017%),4
4165,NA,Senior Technical Support Analyst,"1,081",98,"£35,500",4.41%,26 (0.017%),1
4166,NA,Senior Citrix Engineer,"1,081",91,"£50,000",8.10%,26 (0.017%),4
4167,NA,Desktop Support Manager,"1,081",88,"£58,500",4.00%,26 (0.017%),NA
4168,NA,Linux Specialist,"1,081",51,"£60,000",14.28%,26 (0.017%),4
4169,NA,Trainee Consultant,"1,081",2,"£20,750",-5.68%,26 (0.017%),63
4170,NA,Senior BizTalk Developer,"1,081",104,"£75,000",30.43%,26 (0.017%),1
4171,NA,Messaging Engineer,"1,081",37,"£55,000",-8.33%,26 (0.017%),20
4172,NA,Copywriter,"1,081",90,"£36,000",26.31%,26 (0.017%),4
4173,NA,Avaya Engineer,"1,081",95,"£42,500",41.66%,26 (0.017%),5
4174,NA,Junior .NET Web Developer,"1,081",69,"£37,500",36.36%,26 (0.017%),3
4175,NA,Enterprise Security Architect,"1,081",69,"£75,000",-9.09%,26 (0.017%),3
4176,NA,Data Analytics Architect,"1,081",62,"£90,000",5.88%,26 (0.017%),4
4177,NA,Technical Infrastructure Manager,"1,081",41,"£60,000",4.34%,26 (0.017%),2
4178,NA,User Experience Architect,"1,081",71,"£65,000",-,26 (0.017%),9
4179,NA,Head of Project Management,"1,081",74,"£75,000",-,26 (0.017%),1
4180,NA,Systems Development Analyst,"1,081",70,"£70,000",40.00%,26 (0.017%),4
4181,NA,Junior Business Intelligence Developer,"1,081",63,"£30,000",1.69%,26 (0.017%),7
4182,NA,Senior Server Support Engineer,"1,081",102,"£72,312",-31.13%,26 (0.017%),NA
4183,NA,Data Protection Manager,"1,081",53,"£66,250",1.92%,26 (0.017%),5
4184,NA,Senior WordPress Developer,"1,081",96,"£60,000",6.66%,26 (0.017%),6
4185,NA,Dynamics AX Project Manager,"1,081",38,"£75,000",7.14%,26 (0.017%),74
4186,NA,Technical Sales Engineer,"1,081",89,"£47,500",11.76%,26 (0.017%),32
4187,NA,NoSQL Engineer,"1,081",51,"£57,500",-17.85%,26 (0.017%),5
4188,NA,Scrum Product Owner,"1,081",85,"£60,000",-2.04%,26 (0.017%),4
4189,NA,Junior Data Scientist,"1,081",65,"£35,000",16.66%,26 (0.017%),3
4190,NA,Senior LAMP Developer,"1,081",67,"£45,000",-,26 (0.017%),6
4191,NA,SC Cleared Project Manager,"1,081",102,"£52,500",5.00%,26 (0.017%),4
4192,NA,LAN/WAN Analyst,"1,081",91,"£36,500",-39.16%,26 (0.017%),1
4193,NA,Onboarding Manager,"1,081",90,"£72,500",81.25%,26 (0.017%),2
4194,NA,Investment Management Business Analyst,"1,081",72,"£65,000",-13.33%,26 (0.017%),NA
4195,NA,Field Hardware Engineer,"1,081",90,"£25,000",7.52%,26 (0.017%),5
4196,NA,Junior C++ Software Engineer,"1,081",76,"£32,500",12.06%,26 (0.017%),12
4197,NA,E-Commerce Solution Architect,"1,081",85,"£90,000",2.85%,26 (0.017%),1
4198,NA,E-Commerce Engineer,"1,081",13,"£65,000",30.00%,26 (0.017%),9
4199,NA,Associate Consultant,"1,081",72,"£35,500",9.23%,26 (0.017%),2
4200,NA,IP Architect,"1,081",97,"£63,750",-15.00%,26 (0.017%),4
4201,NA,Security Incident Analyst,"1,081",70,"£52,500",-,26 (0.017%),4
4202,NA,Sales Business Development Manager,"1,081",73,"£110,000",100.00%,26 (0.017%),1
4203,NA,Charles River Analyst,"1,081",100,"£80,000",14.28%,26 (0.017%),1
4204,NA,BladeLogic,"1,081",70,"£42,500",-32.00%,26 (0.017%),1
4205,NA,OpenDNS,"1,081",106,"£35,000",-30.00%,26 (0.017%),3
4206,NA,arcserve,"1,082",80,"£39,000",11.42%,25 (0.017%),9
4207,NA,LexisNexis,"1,082",50,"£58,750",54.60%,25 (0.017%),12
4208,NA,OutSystems,"1,082",76,"£52,500",5.00%,25 (0.017%),9
4209,NA,Parquet,"1,082",62,"£67,500",-15.62%,25 (0.017%),12
4210,NA,Contact Management,"1,082",72,"£19,000",-82.72%,25 (0.017%),7
4211,NA,Defensive Programming,"1,082",77,"£43,750",-27.08%,25 (0.017%),3
4212,NA,Time Series Forecasting,"1,082",89,"£127,500",96.15%,25 (0.017%),5
4213,NA,Isomorphic JavaScript,"1,082",78,"£66,250",-,25 (0.017%),16
4214,NA,YAGNI,"1,082",56,"£60,000",20.00%,25 (0.017%),6
4215,NA,Business Activity Monitoring,"1,082",67,"£55,000",-15.38%,25 (0.017%),4
4216,NA,Prescriptive Analytics,"1,082",101,"£37,500",-6.25%,25 (0.017%),2
4217,NA,Cognitive Science,"1,082",76,"£60,000",4.34%,25 (0.017%),6
4218,NA,Task-Oriented,"1,082",86,"£60,000",29.72%,25 (0.017%),9
4219,NA,VxWorks,"1,082",63,"£35,500",-29.00%,25 (0.017%),18
4220,NA,sed,"1,082",70,"£52,500",10.52%,25 (0.017%),6
4221,NA,GxP,"1,082",37,"£51,500",22.61%,25 (0.017%),16
4222,NA,Def Stans,"1,082",78,"£50,000",12.99%,25 (0.017%),18
4223,NA,Vaadin,"1,082",46,"£70,000",16.66%,25 (0.017%),6
4224,NA,Drush,"1,082",104,"£45,000",-28.00%,25 (0.017%),3
4225,NA,Silex,"1,082",61,"£27,500",-31.25%,25 (0.017%),9
4226,NA,Electron Framework,"1,082",78,"£58,750",11.90%,25 (0.017%),31
4227,NA,PVCS,"1,082",79,"£57,500",21.05%,25 (0.017%),8
4228,NA,Rational Rhapsody,"1,082",63,"£45,000",-5.26%,25 (0.017%),51
4229,NA,Capybara,"1,082",37,"£58,750",17.50%,25 (0.017%),8
4230,NA,HP Storage,"1,082",86,"£55,000",46.66%,25 (0.017%),5
4231,NA,Oracle SCM,"1,082",87,"£62,500",-7.40%,25 (0.017%),7
4232,NA,PeopleSoft HCM,"1,082",78,"£52,500",5.00%,25 (0.017%),2
4233,NA,OpenText VIM for SAP,"1,082",64,"£65,000",23.80%,25 (0.017%),2
4234,NA,EMC RecoverPoint,"1,082",102,"£45,000",-28.00%,25 (0.017%),1
4235,NA,Migration Engineer,"1,082",58,"£55,000",57.14%,25 (0.017%),30
4236,NA,Delphi Developer,"1,082",67,"£55,000",37.50%,25 (0.017%),8
4237,NA,Senior Recruitment Consultant,"1,082",78,"£30,000",-,25 (0.017%),7
4238,NA,Deskside Analyst,"1,082",73,"£27,750",-18.38%,25 (0.017%),1
4239,NA,Microsoft Trainer,"1,082",58,"£49,500",19.27%,25 (0.017%),5
4240,NA,Senior Oracle Consultant,"1,082",58,"£62,500",-3.84%,25 (0.017%),NA
4241,NA,Web Programmer,"1,082",65,"£41,250",-21.42%,25 (0.017%),5
4242,NA,Database Architect,"1,082",89,"£55,000",-4.34%,25 (0.017%),3
4243,NA,Lead Systems Engineer,"1,082",57,"£60,000",4.34%,25 (0.017%),10
4244,NA,ICT Project Manager,"1,082",84,"£47,151",-9.32%,25 (0.017%),1
4245,NA,Senior Quantitative Developer,"1,082",98,"£100,000",11.11%,25 (0.017%),1
4246,NA,Architecture Manager,"1,082",94,"£85,000",3.03%,25 (0.017%),1
4247,NA,SAP BPC Consultant,"1,082",2,"£75,000",20.00%,25 (0.017%),1
4248,NA,Senior Insight Analyst,"1,082",70,"£45,000",12.50%,25 (0.017%),4
4249,NA,Junior Games Developer,"1,082",89,"£25,000",11.11%,25 (0.017%),2
4250,NA,Cisco VoIP Engineer,"1,082",102,"£62,500",59.23%,25 (0.017%),3
4251,NA,Domain Architect,"1,082",52,"£87,500",9.37%,25 (0.017%),4
4252,NA,Big Data Consultant,"1,082",60,"£80,000",6.66%,25 (0.017%),2
4253,NA,TM1 Developer,"1,082",88,"£65,000",19.15%,25 (0.017%),2
4254,NA,Unified Communications Manager,"1,082",78,"£45,000",-30.76%,25 (0.017%),1
4255,NA,Junior Embedded Engineer,"1,082",91,"£30,000",-25.00%,25 (0.017%),7
4256,NA,SAP FI/CO Business Analyst,"1,082",81,"£46,500",-15.45%,25 (0.017%),NA
4257,NA,SAP FI Business Analyst,"1,082",81,"£46,500",-15.45%,25 (0.017%),NA
4258,NA,SAP CO Business Analyst,"1,082",80,"£46,500",-15.45%,25 (0.017%),NA
4259,NA,UX Specialist,"1,082",92,"£56,500",25.55%,25 (0.017%),5
4260,NA,E-Commerce Product Owner,"1,082",78,"£60,000",4.34%,25 (0.017%),4
4261,NA,Artificial Intelligence Developer,"1,082",66,"£58,750",-2.08%,25 (0.017%),5
4262,NA,1st/2nd Line Desktop Support,"1,082",56,"£30,000",17.64%,25 (0.017%),NA
4263,NA,Business Intelligence Support Analyst,"1,082",94,"£41,000",31.20%,25 (0.017%),1
4264,NA,Head of Design,"1,082",73,"£85,000",6.25%,25 (0.017%),3
4265,NA,Security Compliance Officer,"1,082",90,"£50,000",25.00%,25 (0.017%),NA
4266,NA,Software QA Manager,"1,082",93,"£55,000",15.78%,25 (0.017%),2
4267,NA,Graduate IT Consultant,"1,082",43,"£26,500",-3.63%,25 (0.017%),4
4268,NA,Graduate C# Software Developer,"1,082",65,"£27,000",8.00%,25 (0.017%),6
4269,NA,Mobile Designer,"1,082",44,"£55,000",12.82%,25 (0.017%),8
4270,NA,Content Designer,"1,082",87,"£37,500",-3.84%,25 (0.017%),7
4271,NA,Head of Data Analytics,"1,082",89,"£95,000",26.66%,25 (0.017%),5
4272,NA,Java Pricing Developer,"1,082",87,"£88,750",18.33%,25 (0.017%),2
4273,NA,Payments Architect,"1,082",85,"£85,000",1.49%,25 (0.017%),1
4274,NA,Data Analytics Analyst,"1,082",83,"£45,000",-14.28%,25 (0.017%),1
4275,NA,Security Compliance Analyst,"1,082",89,"£43,000",-7.02%,25 (0.017%),4
4276,NA,SaaS Developer,"1,082",5,"£42,500",-5.55%,25 (0.017%),8
4277,NA,OpenView,"1,082",76,"£44,000",-26.66%,25 (0.017%),6
4278,NA,yum,"1,082",93,"£42,500",-32.00%,25 (0.017%),4
4279,NA,Arabic Language,"1,082",68,"£60,000",44.57%,25 (0.017%),4
4280,NA,Sage Pay,"1,082",60,"£50,000",17.64%,25 (0.017%),8
4281,NA,Draytek,"1,083",79,"£32,500",-,24 (0.016%),15
4282,NA,Sencha,"1,083",67,"£52,500",-10.63%,24 (0.016%),9
4283,NA,Tagetik,"1,083",66,"£49,500",-23.84%,24 (0.016%),3
4284,NA,QGIS,"1,083",77,"£42,750",1.78%,24 (0.016%),10
4285,NA,Mixpanel,"1,083",81,"£50,000",2.56%,24 (0.016%),3
4286,NA,Remote Sensing,"1,083",87,"£40,000",-11.11%,24 (0.016%),3
4287,NA,Parallel Computing,"1,083",88,"£67,500",-20.58%,24 (0.016%),6
4288,NA,Video Analytics,"1,083",84,"£70,000",40.00%,24 (0.016%),3
4289,NA,Electronic Discovery Reference Model,"1,083",78,"£57,500",-25.80%,24 (0.016%),6
4290,NA,Dynamic Code Analysis,"1,083",94,"£75,000",-15.73%,24 (0.016%),6
4291,NA,Windows Mobile,"1,083",17,"£37,000",-4.51%,24 (0.016%),7
4292,NA,VXLAN,"1,083",95,"£67,500",-3.57%,24 (0.016%),8
4293,NA,Plixer Scrutinizer,"1,083",92,"£72,500",26.08%,24 (0.016%),NA
4294,NA,VCP5,"1,083",58,"£53,750",37.82%,24 (0.016%),4
4295,NA,SAP Smart Forms,"1,083",51,"£60,000",26.31%,24 (0.016%),5
4296,NA,Zurb Foundation,"1,083",67,"£40,000",26.98%,24 (0.016%),5
4297,NA,Lucene.Net,"1,083",104,"£57,500",53.33%,24 (0.016%),5
4298,NA,Immediacy CMS,"1,083",72,"£55,000",-31.25%,24 (0.016%),3
4299,NA,Mendix,"1,083",75,"£42,500",-12.82%,24 (0.016%),5
4300,NA,Log4j,"1,083",76,"£40,000",-5.88%,24 (0.016%),5
4301,NA,Plastic SCM,"1,083",93,"£65,000",85.71%,24 (0.016%),NA
4302,NA,Podcast,"1,083",90,"£45,000",-4.25%,24 (0.016%),3
4303,NA,Movex,"1,083",87,"£42,500",-5.55%,24 (0.016%),NA
4304,NA,SAP IS-U,"1,083",76,"£56,600",-5.66%,24 (0.016%),2
4305,NA,SAP MDG,"1,083",63,"£62,500",13.63%,24 (0.016%),8
4306,NA,Oracle Clusterware,"1,083",101,"£40,000",-27.27%,24 (0.016%),4
4307,NA,Market Risk Analyst,"1,083",97,"£75,000",36.36%,24 (0.016%),1
4308,NA,Systems Delivery Manager,"1,083",87,"£57,688",12.01%,24 (0.016%),5
4309,NA,Interface Designer,"1,083",79,"£41,250",26.92%,24 (0.016%),6
4310,NA,Systems Tester,"1,083",81,"£30,000",-16.66%,24 (0.016%),NA
4311,NA,Perl Developer,"1,083",31,"£42,500",-22.72%,24 (0.016%),12
4312,NA,Java Analyst Programmer,"1,083",83,"£55,000",4.76%,24 (0.016%),2
4313,NA,Project Support Analyst,"1,083",65,"£29,000",-10.76%,24 (0.016%),1
4314,NA,Oracle Technical Consultant,"1,083",61,"£50,000",-9.09%,24 (0.016%),7
4315,NA,.NET Analyst Programmer,"1,083",70,"£42,500",-15.00%,24 (0.016%),3
4316,NA,Murex Business Analyst,"1,083",81,-,-,24 (0.016%),3
4317,NA,Process Engineer,"1,083",60,"£37,500",15.38%,24 (0.016%),21
4318,NA,Real Time Embedded Engineer,"1,083",71,"£45,000",-18.18%,24 (0.016%),9
4319,NA,Murex Analyst,"1,083",69,-,-,24 (0.016%),4
4320,NA,Junior Java Software Engineer,"1,083",80,"£32,500",8.33%,24 (0.016%),2
4321,NA,Senior Business Manager,"1,083",77,"£97,500",69.56%,24 (0.016%),3
4322,NA,SAP SCM Consultant,"1,083",60,"£72,500",52.63%,24 (0.016%),1
4323,NA,SAP Engineer,"1,083",82,"£52,500",61.53%,24 (0.016%),4
4324,NA,Active Directory Consultant,"1,083",62,"£50,000",-16.66%,24 (0.016%),2
4325,NA,Web Business Analyst,"1,083",57,"£45,000",-14.28%,24 (0.016%),5
4326,NA,Transformation Programme Manager,"1,083",62,"£72,500",-10.76%,24 (0.016%),3
4327,NA,Programme Analyst,"1,083",70,"£30,000",16.50%,24 (0.016%),2
4328,NA,Telecoms Consultant,"1,083",81,"£45,000",-40.00%,24 (0.016%),3
4329,NA,Engineering Specialist,"1,083",97,"£55,000",-47.61%,24 (0.016%),2
4330,NA,QlikView Consultant,"1,083",91,"£50,000",-9.09%,24 (0.016%),2
4331,NA,Malware Engineer,"1,083",-,"£58,750",-,24 (0.016%),1
4332,NA,MongoDB Developer,"1,083",32,"£51,250",-6.81%,24 (0.016%),5
4333,NA,Information Risk Analyst,"1,083",56,"£46,250",-7.50%,24 (0.016%),5
4334,NA,Creative Developer,"1,083",85,"£40,000",-11.11%,24 (0.016%),4
4335,NA,Junior QA Analyst,"1,083",95,"£32,500",25.00%,24 (0.016%),1
4336,NA,Customer Service Advisor,"1,083",88,"£19,000",-5.00%,24 (0.016%),7
4337,NA,Telecoms Support Engineer,"1,083",82,"£30,000",9.09%,24 (0.016%),4
4338,NA,SOC Manager,"1,083",74,"£70,000",-6.66%,24 (0.016%),2
4339,NA,Junior Linux Engineer,"1,083",50,"£30,000",-14.28%,24 (0.016%),5
4340,NA,Graduate Games Developer,"1,083",87,"£25,000",11.11%,24 (0.016%),6
4341,NA,Graduate Database Analyst,"1,083",81,"£30,000",-,24 (0.016%),NA
4342,NA,Graduate Support Engineer,"1,083",81,"£26,000",-3.70%,24 (0.016%),7
4343,NA,Healthcare Manager,"1,083",49,"£55,000",6.28%,24 (0.016%),3
4344,NA,SaaS Analyst,"1,083",60,"£47,500",-26.92%,24 (0.016%),1
4345,NA,Senior Analytics Manager,"1,083",49,"£80,000",14.28%,24 (0.016%),4
4346,NA,Salesforce Technical Consultant,"1,083",53,"£67,500",3.84%,24 (0.016%),6
4347,NA,BMC PATROL,"1,083",69,"£50,000",21.95%,24 (0.016%),10
4348,NA,FTK,"1,083",84,"£45,000",-25.00%,24 (0.016%),1
4349,NA,3ds Max,"1,084",82,"£25,383",-32.31%,23 (0.015%),9
4350,NA,Mingle,"1,084",93,"£42,500",-5.55%,23 (0.015%),1
4351,NA,Axway,"1,084",97,"£75,000",-25.00%,23 (0.015%),6
4352,NA,Elastic Path,"1,084",93,-,-,23 (0.015%),4
4353,NA,Bomgar,"1,084",87,"£40,250",15.82%,23 (0.015%),NA
4354,NA,Openreach,"1,084",84,"£32,575",4.24%,23 (0.015%),7
4355,NA,Tealium,"1,084",84,"£54,000",20.00%,23 (0.015%),8
4356,NA,Base SAS,"1,084",-41,"£47,500",-,23 (0.015%),16
4357,NA,Infographics,"1,084",21,"£33,000",-14.83%,23 (0.015%),18
4358,NA,LPIC,"1,084",80,"£42,500",11.84%,23 (0.015%),6
4359,NA,ISO 27001 Lead Implementer,"1,084",61,"£62,500",-3.84%,23 (0.015%),6
4360,NA,GPG13,"1,084",58,"£55,000",-15.38%,23 (0.015%),6
4361,NA,ISAE 3402,"1,084",59,"£50,000",-16.66%,23 (0.015%),6
4362,NA,Matplotlib,"1,084",88,"£57,454",-3.03%,23 (0.015%),6
4363,NA,Phalcon,"1,084",45,"£42,500",-15.00%,23 (0.015%),2
4364,NA,Akka.NET,"1,084",57,"£60,000",-7.69%,23 (0.015%),5
4365,NA,Apache TomEE,"1,084",98,"£70,000",19.14%,23 (0.015%),1
4366,NA,eZ Publish,"1,084",-,"£40,000",-,23 (0.015%),NA
4367,NA,Rhino Mocks,"1,084",-482,"£55,000",37.50%,23 (0.015%),6
4368,NA,LINQPad,"1,084",75,"£57,500",27.77%,23 (0.015%),3
4369,NA,NCrunch,"1,084",100,"£50,000",-4.76%,23 (0.015%),1
4370,NA,Motion Graphics,"1,084",71,"£37,500",30.43%,23 (0.015%),16
4371,NA,Oracle BPM,"1,084",60,"£70,000",3.70%,23 (0.015%),11
4372,NA,IAG,"1,084",101,"£22,000",-72.50%,23 (0.015%),10
4373,NA,etcd,"1,084",98,"£72,500",-27.50%,23 (0.015%),3
4374,NA,SAP WM Consultant,"1,084",40,"£52,500",-2.32%,23 (0.015%),2
4375,NA,Technical Designer,"1,084",96,"£70,000",47.36%,23 (0.015%),2
4376,NA,Systems Accountant,"1,084",47,"£50,000",-,23 (0.015%),7
4377,NA,Training Consultant,"1,084",55,"£40,000",-,23 (0.015%),3
4378,NA,Project Management Consultant,"1,084",91,"£52,500",16.66%,23 (0.015%),1
4379,NA,C++ Team Leader,"1,084",70,"£90,000",53.84%,23 (0.015%),1
4380,NA,Senior Infrastructure Support Analyst,"1,084",103,"£50,000",66.66%,23 (0.015%),2
4381,NA,Senior Auditor,"1,084",72,"£56,500",-5.83%,23 (0.015%),3
4382,NA,Trainee Analyst,"1,084",62,"£22,500",9.75%,23 (0.015%),12
4383,NA,SAP HR/Payroll Consultant,"1,084",90,"£42,500",-5.55%,23 (0.015%),NA
4384,NA,Strategy Consultant,"1,084",49,"£75,000",3.44%,23 (0.015%),10
4385,NA,IT Support Assistant,"1,084",86,"£26,000",29.70%,23 (0.015%),5
4386,NA,Content Manager,"1,084",60,"£35,000",-12.50%,23 (0.015%),4
4387,NA,Network Operations Manager,"1,084",90,"£57,500",-2.12%,23 (0.015%),NA
4388,NA,PHP Development Manager,"1,084",96,"£77,500",26.53%,23 (0.015%),1
4389,NA,Digital Account Manager,"1,084",36,"£35,000",16.66%,23 (0.015%),5
4390,NA,Technical Infrastructure Consultant,"1,084",75,"£40,000",-27.27%,23 (0.015%),6
4391,NA,SOA Developer,"1,084",56,"£67,500",12.50%,23 (0.015%),6
4392,NA,Lead Programmer,"1,084",65,"£56,500",-13.07%,23 (0.015%),14
4393,NA,Professional Services Consultant,"1,084",50,"£37,500",-41.17%,23 (0.015%),1
4394,NA,Senior Information Security Consultant,"1,084",67,"£60,000",-,23 (0.015%),2
4395,NA,3rd Line Support Technician,"1,084",88,"£31,500",5.00%,23 (0.015%),NA
4396,NA,SCCM Specialist,"1,084",74,"£47,500",11.76%,23 (0.015%),1
4397,NA,Real Time Embedded Software Engineer,"1,084",75,"£45,000",-18.18%,23 (0.015%),7
4398,NA,Enterprise Infrastructure Architect,"1,084",66,"£76,250",-15.27%,23 (0.015%),1
4399,NA,Software Sales Manager,"1,084",78,"£70,000",12.00%,23 (0.015%),2
4400,NA,Life and Pensions Business Analyst,"1,084",52,"£42,500",-,23 (0.015%),1
4401,NA,Data Migration Developer,"1,084",92,"£65,000",23.80%,23 (0.015%),3
4402,NA,Cisco Design Engineer,"1,084",79,"£50,000",-4.76%,23 (0.015%),3
4403,NA,2nd Line Technical Support Engineer,"1,084",69,"£30,000",-7.69%,23 (0.015%),1
4404,NA,Head of Digital Marketing,"1,084",93,"£110,000",100.00%,23 (0.015%),1
4405,NA,EPoS Manager,"1,084",77,"£51,000",-15.00%,23 (0.015%),NA
4406,NA,PMO Coordinator,"1,084",78,"£32,500",8.33%,23 (0.015%),2
4407,NA,Junior PMO,"1,084",70,"£37,500",25.00%,23 (0.015%),NA
4408,NA,Head of Analysis,"1,084",88,"£70,000",-15.15%,23 (0.015%),NA
4409,NA,Wireless Network Engineer,"1,084",59,"£52,500",10.52%,23 (0.015%),2
4410,NA,CISSP Architect,"1,084",94,"£92,500",27.58%,23 (0.015%),6
4411,NA,Oracle Financials Support,"1,084",75,"£47,500",5.55%,23 (0.015%),NA
4412,NA,Supply Chain Business Analyst,"1,084",85,"£55,000",-,23 (0.015%),6
4413,NA,Graduate ASP.NET Developer,"1,084",74,"£24,000",-5.13%,23 (0.015%),8
4414,NA,Technologist,"1,084",86,"£57,500",-25.80%,23 (0.015%),84
4415,NA,Graduate Technical Support,"1,084",94,"£27,500",18.27%,23 (0.015%),2
4416,NA,Automation Architect,"1,084",71,"£50,000",-48.71%,23 (0.015%),8
4417,NA,Senior Payments Business Analyst,"1,084",101,"£72,500",3.57%,23 (0.015%),NA
4418,NA,Client Director,"1,084",86,"£55,000",-42.85%,23 (0.015%),8
4419,NA,Blockchain Lead,"1,084",93,"£85,000",-12.82%,23 (0.015%),1
4420,NA,Post-Sales Manager,"1,084",100,"£37,500",3.44%,23 (0.015%),NA
4421,NA,Office 365 Project Manager,"1,084",85,"£55,000",-21.42%,23 (0.015%),2
4422,NA,Tivoli Storage Manager,"1,084",30,"£45,000",20.00%,23 (0.015%),2
4423,NA,cPanel,"1,084",70,"£27,000",-10.00%,23 (0.015%),24
4424,NA,rkt,"1,084",90,"£57,500",-20.68%,23 (0.015%),1
4425,NA,Computer Incident Response Team,"1,084",89,"£55,000",15.78%,23 (0.015%),3
4426,NA,Prime Brokerage,"1,084",72,"£82,500",50.00%,23 (0.015%),5
4427,NA,Google Compute Engine,"1,084",69,"£35,000",-41.66%,23 (0.015%),9
4428,NA,TestFlight,"1,084",71,"£70,000",19.14%,23 (0.015%),3
4429,NA,Unisys,"1,085",69,"£48,500",-9.93%,22 (0.015%),7
4430,NA,Tripwire,"1,085",91,"£50,000",-4.76%,22 (0.015%),10
4431,NA,Rakuten,"1,085",97,-,-,22 (0.015%),NA
4432,NA,Ping Identity,"1,085",93,"£55,000",-6.77%,22 (0.015%),3
4433,NA,Business Intelligence Development Studio,"1,085",83,"£50,000",38.88%,22 (0.015%),1
4434,NA,Critical Path Analysis,"1,085",60,"£55,000",22.22%,22 (0.015%),3
